################ LAYER 1: PLAINTEXT STRINGS (non-libc/libunwind) ################
0x014b35 | (Lretrofit2/Response;)Ljava/lang/String;
0x014b5e | (ZLjava/lang/String;)Lretrofit2/Retrofit;
0x014b88 | digest
0x014b8f | com/nivaroid/topfollow/helper/T
0x014baf | setup
0x014bb5 | ()Lcom/nivaroid/topfollow/models/InstagramAccount;
0x014be8 | media_count
0x014bf4 | V1ROS2JGbFlVbXhZTWpWMlpFZFZkbVJxU1hZPQ==
0x014c1d | %.0Lf
0x014c23 | Mon
0x014cba | x18
0x014cc4 | ([B)[B
0x014ccb | %a %b %d %H:%M:%S %Y
0x014ce0 | decltype(
0x014d0e | long
0x014d13 | char32_t
0x014da2 | com/nivaroid/topfollow/helper/q
0x014dc2 | getContentResolver
0x014dd5 | android/os/Build
0x014de8 | TDNOaGRtVXY=
0x014df5 | (Lcom/nivaroid/topfollow/models/DeviceModel;)V
0x014e24 | build
0x014e2a | Thu
0x014e2e | Apr
0x014e32 | Nov
0x014e3b | throw
0x014e41 | wchar_t
0x014e71 | decltype(auto)
0x014e80 | signatures
0x014e8b | null
0x014e92 | u_a
0x014e96 | order_stamp
0x014ea2 | raw
0x014ea6 | getPath
0x014eae | V1ZWb1UwMUhUa2xVVkZwTlpWUm5PUT09
0x014ecf | sign
0x014ed4 | java/lang/String
0x014ee5 | (JLjava/util/concurrent/TimeUnit;)Lokhttp3/OkHttpClient$Builder;
0x014f26 | Jun
0x014f53 | const_cast
0x014f61 | unsigned __int128
0x014ff6 | getSLEB128
0x015001 | getSavedRegister
0x015012 | d11
0x015016 | d25
0x01501a | ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x01505b | (Ljava/lang/String;)Ljava/lang/String;
0x015084 | WkRnME5UVTVNV1V3T0RZd016TmhPVEF6Tldaa05tSTJObU16WXpOa056TmhZVE16WVdZNU1EYzVOR1EyWWprNE5tVTJORGMzT1dWbFlUWmlaV00xWlE9PQ==
0x0150fd | (Ljava/lang/String;)V
0x015113 | okhttp3/CertificatePinner$Builder
0x015135 | (Lokhttp3/OkHttpClient;)Lretrofit2/Retrofit$Builder;
0x01516a | Tuesday
0x015172 | Sat
0x015176 | March
0x01519c |  [enable_if:
0x0151b8 | objc_object
0x0151d3 | getEncodedP
0x0151df | x22
0x0151e6 | getPackageName
0x0151f5 | nonce
0x0151fb | mid
0x0151ff | MODEL
0x015205 | 0123456789
0x01524e | unsigned char
0x0152bb | getSavedFloatRegister
